,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,32,35,8.762124,1.670051,5077.579216,31.889023,401.362447
1,45,35,3.442263,1.04676,3357.560432,44.571761,743.231444
2,47,35,2.790747,0.942508,2277.442048,23.002422,262.764269
3,55,35,3.519214,1.058395,1624.450491,11.889276,110.518111
4,58,35,23.793168,2.752018,24164.167361,55.427467,419.865968
5,59,35,3.493563,1.054531,2251.612425,30.652365,528.049917
6,60,35,10.136977,1.796302,8324.315932,25.734313,171.489343
7,61,35,2.867697,0.955414,2490.788279,51.17042,1205.241624
8,62,35,3.775716,1.096288,3111.24344,2.054414,1.784629
9,64,35,2.754836,0.936425,2370.447469,40.571443,780.305709
10,68,35,12.5481,1.998546,9396.362767,8.024569,16.435351
11,69,35,5.391682,1.310048,5310.383046,45.827276,621.714014
12,70,35,14.487259,2.147426,13529.042542,45.336047,391.489076
13,75,35,2.831787,0.949413,2769.302479,65.2722,1752.761074
14,76,35,3.196021,1.008625,2962.202458,4.896858,9.797862
15,79,35,4.057869,1.136512,3700.418834,21.292734,167.096469
16,80,35,7.105118,1.503871,7765.151565,51.216499,609.623637
17,81,35,4.365672,1.178828,3960.314384,39.395234,554.357012
18,82,35,3.298622,1.024687,3865.826865,52.598284,879.981012
19,83,35,6.925566,1.484748,6202.471015,27.188642,212.346078
20,84,35,4.658085,1.217668,5685.634796,53.742797,742.286512
21,85,35,6.720364,1.462586,6600.228356,38.24636,388.977051
22,86,35,5.904686,1.370956,4535.353868,5.372267,10.469084
23,89,35,4.381062,1.180904,5109.934617,45.861319,583.275523
24,91,35,6.458732,1.433833,7524.618392,41.662706,396.908512
25,94,35,3.272971,1.020695,3913.48779,32.16817,323.866587
26,95,35,5.858516,1.365585,7340.576272,10.784364,25.963247
27,96,35,2.908738,0.962227,2013.95834,43.883462,1104.103713
28,98,35,3.17037,1.00457,2771.585133,24.696089,265.270801
29,99,35,2.621455,0.913474,1739.524755,21.778756,298.891149
30,102,35,2.575285,0.905394,3303.2929,32.251521,342.115109
31,103,35,5.17622,1.283605,5539.170856,31.050518,268.105425
32,104,35,12.912334,2.027344,17343.871883,11.674218,19.116933
33,105,35,4.314371,1.171882,2448.160118,54.266587,1691.571144
34,106,35,3.011339,0.97905,2318.18057,34.039103,587.212203
35,107,35,14.61551,2.15691,14482.085374,19.818089,70.194931
36,108,35,6.981997,1.490785,4145.39547,31.838793,437.465035
37,110,35,4.499053,1.196701,4975.865386,27.571533,219.391632
38,111,35,9.623972,1.750259,9908.580411,19.223123,78.328522
39,112,35,2.683016,0.924138,2259.783501,23.756467,276.958557
40,114,35,3.667985,1.080535,3961.41948,24.056163,189.41831
41,115,35,3.011339,0.97905,3027.45255,35.849286,498.734933
42,116,35,4.068129,1.137948,2849.231307,27.789499,370.115609
43,117,35,4.083519,1.140098,4557.105332,22.358776,150.082683
44,120,35,2.570155,0.904492,3370.559789,42.503417,581.743578
45,121,35,8.500491,1.644929,5564.248429,17.157365,104.429454
46,122,35,2.606065,0.910789,1905.078786,24.38991,341.27649
47,123,35,3.709025,1.086563,4834.53224,39.719265,425.484907
48,124,35,3.314012,1.027075,2041.431934,23.030978,320.238223
49,125,35,2.683016,0.924138,1712.786187,29.508597,563.782864
50,126,35,5.478892,1.3206,5533.792724,36.147514,374.185269
51,127,35,3.067769,0.988181,1786.905476,57.819931,2218.560224
52,131,35,3.555124,1.063782,3274.241724,39.877555,619.983302
53,134,35,3.986048,1.12641,2443.704158,14.883697,122.532301
54,135,35,4.268201,1.165594,4274.987341,34.969173,400.096383
55,136,35,2.631715,0.91526,1847.893873,4.440274,11.7184
56,137,35,3.1242,0.997228,2426.862691,37.743226,702.438885
57,141,35,3.662855,1.079779,1766.563483,10.385922,79.118321
58,143,35,6.607503,1.450253,5374.848776,30.782758,306.813037
59,145,35,13.974254,2.109062,8496.648387,5.453362,8.858325
60,146,35,2.739446,0.933806,1896.881098,6.825469,27.520901
61,147,35,2.970298,0.972356,2235.642866,6.528571,22.245399
62,148,35,3.426873,1.044417,3449.234049,9.664757,33.940211
63,149,35,2.826657,0.948553,2010.350789,7.751558,34.021154
64,150,35,12.476279,1.992818,9829.835823,5.504106,7.370147
65,152,35,6.658804,1.455872,2946.333556,4.614711,12.627327
66,153,153,2.990819,0.975709,1150.131111,35.709482,1298.138714
67,154,35,13.086755,2.040991,8408.507522,4.625104,6.230837
68,155,35,11.665732,1.926997,7088.671853,23.298946,177.080185
69,156,35,3.247321,1.016688,1984.541211,24.907611,381.393202
70,157,35,3.734676,1.090314,1651.288874,4.26691,14.425695
71,158,35,4.652955,1.216997,1998.79878,5.712178,23.839941
72,159,35,2.749706,0.935553,1464.281022,4.957849,18.845672
73,160,35,3.047249,0.98487,1268.98632,5.587526,29.076525
74,163,35,7.566822,1.551965,6145.357912,5.948117,10.721977
75,167,35,6.366391,1.423547,4200.935147,22.006691,196.932088
76,168,35,20.207263,2.536173,12872.837758,10.143142,24.323764
77,169,35,2.765096,0.938167,1770.665304,3.575427,8.127945
78,170,35,4.663215,1.218338,2340.533701,4.318554,11.649593
79,171,35,11.696512,1.929538,7079.594267,29.322845,281.214905
80,173,35,4.832506,1.240256,2310.07773,4.413197,12.547944
81,174,35,2.801007,0.944239,2248.060856,5.331984,14.329565
82,175,35,5.012058,1.263087,2163.290176,4.428354,13.739922
83,176,35,5.473762,1.319982,3902.476999,5.723949,13.298433
84,177,35,4.273331,1.166295,2516.262484,21.644294,260.567638
85,178,35,2.888218,0.958826,1427.328668,6.015133,29.166734
86,179,35,3.057509,0.986527,2442.899879,5.179279,12.999396
87,180,35,4.940237,1.254004,2916.228757,4.127676,8.791637
88,182,35,8.885245,1.681744,3844.404319,9.737918,49.778771
89,183,35,13.661321,2.085314,10422.643353,6.653905,10.629871
90,184,184,8.36711,1.631972,3687.190842,8.208461,35.78672
91,185,35,3.370442,1.035782,1364.405908,2.815491,7.221282
92,186,35,11.127076,1.881983,5430.735576,14.461911,86.974026
93,187,35,3.632075,1.075233,1591.843385,13.705172,152.248262
94,188,35,15.390147,2.213331,12756.502537,8.279,14.270915
95,189,35,3.416613,1.042853,1475.247075,5.671294,27.28373
96,190,35,2.872827,0.956268,1179.499455,4.02352,15.74982
