,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,7,7,26.478337,2.903156,232076.62948,5.845759,13.19516
1,17,17,4.377628,1.180442,29675.290515,3.836105,16.268518
2,18,18,11.419032,1.906513,56991.389037,4.104983,13.366053
3,66,66,6.51662,1.440245,26699.474907,5.485591,32.963324
4,65,65,20.533,2.556532,77594.21661,6.870823,27.475641
5,77,77,5.998479,1.381801,30934.777868,9.477943,90.055351
6,82,82,7.214118,1.515363,31582.067186,8.976306,76.498427
7,0,0,1160.569537,19.220321,7385561.842459,36.873715,90.35148
8,83,83,3.905986,1.11504,13737.113227,3.874928,21.450513
9,85,85,14.926448,2.179733,51253.235751,2.917095,5.681347
