,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,93.085076,5.443335,433879.383759,10.489322,103941485091.08998
1,1,1,84.423162,5.183891,581725.071967,1.125113,1526953395.05883
2,6,6,74.419261,4.867072,456349.690549,8.051255,57590739313.21307
3,3,3,1152.27856,19.151545,9402986.052693,12.771263,11748901940015.912
4,10,10,206.787947,8.113116,1093507.442622,5.221233,96742119895.73953
5,16,16,981.541255,17.675811,5189377.224523,10.301968,3893990849282.9453
6,31,31,252.293495,8.961446,1396672.547928,7.122126,253952202436.55338
7,4,4,4801.50633,39.094334,52057652.697515,28.644836,667960927564330.8
8,26,26,73.016275,4.820975,306446.965034,8.378032,41479573826.78501
9,32,32,136.333646,6.58759,760711.802055,6.622719,87918314272.34177
