,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,130.925872,6.455618,223705.540466,3.573856,0.442299
1,3,4,158.951537,7.113076,388899.541573,9.259682,1.881886
2,7,4,122.560001,6.245963,230204.985939,4.317305,0.606864
3,13,4,515.128469,12.805096,1746913.925052,5.713959,0.287188
4,14,4,187.81379,7.731946,615284.559549,7.069745,0.753705
5,15,4,257.250514,9.049054,662353.980025,9.975711,1.631481
6,16,4,443.181984,11.877256,1099920.130668,1.417621,0.026041
7,17,17,277.328603,9.395554,572316.46494,4.631091,0.422507
8,18,18,215.839456,8.288778,351539.521864,8.554681,2.070643
9,19,4,179.866213,7.566584,392631.449964,15.082414,5.26063
10,20,4,247.420617,8.874482,498199.168408,18.090581,6.995621
11,22,22,596.068265,13.774412,949723.821328,3.999356,0.278379
12,23,4,597.532292,13.791317,1428173.759265,8.405271,0.818671
13,24,4,192.415019,7.826085,440263.45643,11.518602,2.830171
14,26,4,255.368194,9.015887,514573.834932,10.694919,2.4049
15,27,4,400.934338,11.296963,930219.167122,16.005353,3.73326
16,30,30,415.783758,11.504264,690668.65901,9.637551,1.856537
17,33,28,109.592902,5.906311,299850.630406,4.955843,0.580534
18,34,4,752.300894,15.474651,1694954.017822,15.978877,2.797285
19,35,35,177.774746,7.522464,361411.194568,12.627536,3.982695
20,36,28,173.800957,7.437914,346043.263147,11.058705,3.154355
21,37,28,192.833312,7.834587,464265.466576,3.833515,0.297595
22,38,28,113.56669,6.012437,620186.902974,11.755575,1.60767
23,39,39,133.853926,6.527406,296027.395369,8.091047,1.732205
24,40,28,254.531606,9.001107,2194291.686146,12.551776,0.77552
